Serial,Description,Stream Type,avg_days_to_fill,avg_fill_percent,estimated_days_to_80
1526457,700 Comm Ave Garage - 3A,Single Stream,6.664814814814815,81.42857142857143,6.547888239116309
1526457,700 Comm Ave Garage - 3A,Waste,14.42810763888889,40.0,28.85621527777778
1526458,44 Cummington Mall,Single Stream,4.274091544374563,53.20754716981132,6.42629366955608
1526458,44 Cummington Mall,Waste,4.618970392548237,34.285714285714285,10.777597582612552
1526459,610 Comm Ave,Single Stream,2.344816375364128,59.9250936329588,3.1303298611111114
1526459,610 Comm Ave,Waste,2.1997537037037036,40.0531914893617,4.393664768088141
1526460,New Balance Field Inside Gate - 278 Babcock St,Single Stream,9.970833333333333,87.2,9.14755351681957
1526460,New Balance Field Inside Gate - 278 Babcock St,Waste,20.903703703703705,24.615384615384617,67.93703703703704
1526461,745 Comm Ave (Behind Building),Single Stream,4.661029411764706,62.481751824817515,5.9678600879604184
1526461,745 Comm Ave (Behind Building),Waste,4.02475,48.1,6.693970893970894
1526462,745 Comm Ave,Single Stream,2.2091666666666665,20.0,8.836666666666666
1526462,745 Comm Ave,Waste,4.75344222960502,54.23841059602649,7.011182189698247
1526463,718 Comm Ave,Single Stream,1.9142969644902637,64.19243986254295,2.385697715917202
1526463,718 Comm Ave,Waste,1.935200119474313,43.90557939914163,3.526112436657008
1526464,509 Park Dr @ Buswell,Single Stream,1.5935763888888888,63.35,2.0124090151714458
1526464,509 Park Dr @ Buswell,Waste,1.9012309873678783,50.416666666666664,3.0168293353275426
1526465,771 Comm Ave,Single Stream,3.9446719348659003,52.01716738197425,6.066723173754157
1526465,771 Comm Ave,Waste,2.9353338068181816,32.84090909090909,7.150432525951556
1526467,Campus Center,Single Stream,2.73732486151841,38.94736842105263,5.622613229064842
1526467,Campus Center,Waste,1.226454658000619,4.289693593314763,22.872582972582972
1526468,Babcock St & Ashford St - Pedestrian Garage Entrance,Single Stream,2.4421482545764155,64.13793103448276,3.0461204035576794
1526468,Babcock St & Ashford St - Pedestrian Garage Entrance,Waste,2.6041755698005695,52.9073482428115,3.9377147504713923
1526469,33 Agganis Way,Single Stream,2.3347463348765434,62.986111111111114,2.965411000857528
1526469,33 Agganis Way,Waste,2.5888912037037035,53.222591362126245,3.8914169903361535
1526470,35 Pilgrim Rd,Single Stream,2.5483395304753573,37.32283464566929,5.46226363494296
