Account: Boston University
User: Sarah Healey
Generated On: 02/12/2026
For Time Period: January 1  2024 - December 31  2024
Filters: 
Streams: All
Groups: All
Ordered Route: All


"Serial","Description","Capacity","Stream Type","Reason","Fullness Level at Collection","Collection Time","Note"
"1526399","Boston Medical Center Campus Park - Behind 715 Albany St @ E Concord St","Smart Max","Waste","Not Ready","0%","01/02/2024 06:52","-"
"1526398","East Concord St & Boston Medical Center Pl - On Pathway","Smart Max","Waste","Not Ready","20%","01/02/2024 07:00","-"
"1526390","72 E Concord St Rear Entrance in Courtyard","Smart Max","Waste","Not Ready","0%","01/02/2024 07:37","-"
"1526455","925 Comm Ave Aggnis Arena","Smart Max","Waste","Not Ready","20%","01/02/2024 08:35","-"
"1526485","264 Bay State Rd","Smart Max","Waste","Alert"," Alert - Unknown Fullness","01/02/2024 10:10","-"
"1526511","595 Comm Ave Garage P1 East","Smart Max","Waste","Fullness","80%","01/02/2024 10:40","-"
"1529882","635 Albany St - Front Entrance - Dental School","Smart Max","Waste","Not Ready","0%","01/02/2024 14:22","-"
"1529881","100 East Newton St Front Entrance - Dental School","Smart Max","Waste","Not Ready","0%","01/02/2024 14:23","-"
"1526513","Agganis Arena Garage P1 West","Smart Max","Waste","Fullness","60%","01/02/2024 14:33","-"
"1526510","Agganis Arena Garage P1 East","Smart Max","Waste","Fullness","80%","01/02/2024 14:35","-"
"1526398","East Concord St & Boston Medical Center Pl - On Pathway","Smart Max","Waste","Not Ready","0%","01/03/2024 06:29","-"
"1517448","610 Beacon St","Smart Max","Waste","Not Ready","20%","01/03/2024 10:52","-"
"1526466","32 Harry Agganis Way Behind Police At Gate 1","Smart Max","Waste","Alert"," Alert - Unknown Fullness","01/03/2024 13:12","-"
"1526396","Alcorn Street @ 161 Ashford St - New Balance Field Vehicle Garage Entrance","Smart Max","Waste","Fullness","80%","01/03/2024 13:13","-"
"1526399","Boston Medical Center Campus Park - Behind 715 Albany St @ E Concord St","Smart Max","Waste","Not Ready","0%","01/04/2024 06:34","-"
"1526390","72 E Concord St Rear Entrance in Courtyard","Smart Max","Waste","Not Ready","0%","01/04/2024 07:02","-"
"1526485","264 Bay State Rd","Smart Max","Waste","Not Ready","0%","01/04/2024 07:30","-"
"1526454","728 Comm Ave","Smart Max","Waste","Not Ready","0%","01/04/2024 08:58","-"
"1526486","925 Comm Ave - Aggnis Arena Left Entrance @ Harry aggnis Way","Smart Max","Waste","Not Ready","20%","01/04/2024 09:48","-"
"1526399","Boston Medical Center Campus Park - Behind 715 Albany St @ E Concord St","Smart Max","Waste","Not Ready","0%","01/05/2024 06:04","-"
"1526487","270 Bay State Rd behind Marsh Chapel 735 Comm ave w/ recy 9521128","Smart Max","Waste","Not Ready","0%","01/05/2024 07:32","-"
"1526488","765 Comm Ave - Behind Law School Auditorium (Access from BSR)","Smart Max","Waste","Not Ready","0%","01/05/2024 07:34","-"
"1526485","264 Bay State Rd","Smart Max","Waste","Not Ready","20%","01/05/2024 07:37","-"
"1526385","685 Comm Ave","Smart Max","Waste","Not Ready","0%","01/05/2024 07:40","-"
"1526380","675 Comm Ave","Smart Max","Waste","Not Ready","0%","01/05/2024 07:44","-"
"1526395","755 Comm Ave","Smart Max","Waste","Not Ready","0%","01/05/2024 07:44","-"
"1526474","BU boathouse 619 Memorial Drive","Smart Max","Waste","Not Ready","0%","01/05/2024 07:49","-"
"1526470","35 Pilgrim Rd","Smart","Single Stream","Not Ready","40%","01/05/2024 10:09","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","0%","01/05/2024 10:09","-"
"1526467","Campus Center","Smart","Single Stream","Not Ready","40%","01/05/2024 10:14","-"
"1526467","Campus Center","Smart Max","Waste","Not Ready","0%","01/05/2024 10:14","-"
"1526490","180 Riverway","Smart Max","Waste","Not Ready","0%","01/05/2024 10:19","-"
"1526490","180 Riverway","Smart","Single Stream","Not Ready","40%","01/05/2024 10:19","-"
"1526517","700 Comm Ave Garage - 3B","Smart Max","Waste","Fullness","60%","01/05/2024 13:45","-"
"1526386","Agganis Arena Garage P2 East (Weak/No Signal-Frequent SNC)","Smart Max","Waste","Fullness","80%","01/05/2024 15:33","-"
"1526520","Agganis Arena Garage P2 West (Weak/No Signal-Frequent SNC)","Smart Max","Waste","Not Ready","0%","01/06/2024 03:28","-"
"1526378","700 Albany St City Convenience","Smart","Single Stream","Fullness","80%","01/06/2024 07:39","-"
"1526378","700 Albany St City Convenience","Smart Max","Waste","Not Ready","40%","01/06/2024 07:39","-"
"1526458","44 Cummington Mall","Smart Max","Waste","Not Ready","0%","01/06/2024 09:49","-"
"1526400","111 Cummington Mall","Smart Max","Waste","Not Ready","20%","01/06/2024 09:53","-"
"1526383","700 Comm Ave Subway","Smart Max","Waste","Not Ready","0%","01/06/2024 09:56","-"
"1526389","700 Comm Ave Citizens Bank","Smart Max","Waste","Not Ready","0%","01/06/2024 09:58","-"
"1526379","700 Comm Ave Starbucks","Smart Max","Waste","Not Ready","20%","01/06/2024 09:59","-"
"1526479","580 Comm Ave Street","Smart Max","Waste","Not Ready","40%","01/06/2024 10:03","-"
"1526464","509 Park Dr @ Buswell","Smart Max","Waste","Not Ready","20%","01/06/2024 10:09","-"
"1526483","34 Buswell St","Smart Max","Waste","Not Ready","20%","01/06/2024 10:11","-"
"1526502","514 Park Dr","Smart Max","Waste","Not Ready","0%","01/06/2024 10:14","-"
"1517448","610 Beacon St","Smart Max","Waste","Not Ready","0%","01/06/2024 10:22","-"
"1526476","91 Bay State Rd","Smart Max","Waste","Not Ready","0%","01/06/2024 10:24","-"
"1526382","100 Bay State Rd @ Deerfield St Entrance","Smart Max","Waste","Alert"," Alert - Unknown Fullness","01/06/2024 10:29","-"
"1526477","100 Bay State Rd @ Bay State Road Entrance","Smart Max","Waste","Not Ready","20%","01/06/2024 10:30","-"
"1526394","140  Bay State Rd","Smart Max","Waste","Not Ready","20%","01/06/2024 10:34","-"
"500002835","18 Granby St","Smart Max","Waste","Alert"," Alert - Unknown Fullness","01/06/2024 10:36","-"
"500002837","665 Commonwealth Avenue At Granby - Jenga Building","Smart Max","Waste","Not Ready","0%","01/06/2024 10:36","-"
"1526397","575 Comm Ave","Smart Max","Waste","Not Ready","0%","01/06/2024 10:43","-"
"1526480","595 Comm Ave Entrance Left Side","Smart Max","Waste","Not Ready","0%","01/06/2024 10:44","-"
"1526402","635 Comm Ave","Smart Max","Waste","Not Ready","0%","01/06/2024 10:47","-"
"1526478","595 Comm Ave @ Silber Way","Smart Max","Waste","Not Ready","0%","01/06/2024 10:48","-"
"1526380","675 Comm Ave","Smart Max","Waste","Not Ready","0%","01/06/2024 10:49","-"
"1526455","925 Comm Ave Aggnis Arena","Smart Max","Waste","Not Ready","0%","01/06/2024 10:52","-"
"1526486","925 Comm Ave - Aggnis Arena Left Entrance @ Harry aggnis Way","Smart Max","Waste","Not Ready","0%","01/06/2024 10:54","-"
"1526469","33 Agganis Way","Smart Max","Waste","Not Ready","20%","01/06/2024 10:57","-"
"1526466","32 Harry Agganis Way Behind Police At Gate 1","Smart Max","Waste","Not Ready","20%","01/06/2024 11:02","-"
"1526501","275 Babcock St - Sleeper Hall","Smart Max","Waste","Not Ready","0%","01/06/2024 11:10","-"
"1526475","277 Babcock St @ City Convenience","Smart Max","Waste","Not Ready","0%","01/06/2024 11:12","-"
