Account: Boston University
User: Sarah Healey
Generated On: 02/12/2026
For Time Period: January 1  2022 - December 31  2022
Filters: 
Streams: All
Groups: All
Ordered Route: All


"Serial","Description","Capacity","Stream Type","Reason","Fullness Level at Collection","Collection Time","Note"
"1522343","214 Bay State Road @ Granby St","Smart Max","Waste","Not Ready","20%","01/01/2022 06:04","-"
"1526454","728 Comm Ave","Smart Max","Waste","Not Ready","0%","01/01/2022 06:32","-"
"1526378","700 Albany St City Convenience","Smart Max","Waste","Not Ready","0%","01/01/2022 07:19","-"
"1526378","700 Albany St City Convenience","Smart","Single Stream","Not Ready","40%","01/01/2022 07:19","-"
"1526490","180 Riverway","Smart","Single Stream","Not Ready","60%","01/01/2022 07:28","-"
"1526500","226 Bay State Rd","Smart Max","Waste","Alert"," Alert - Unknown Fullness","01/01/2022 07:36","-"
"1526474","BU boathouse 619 Memorial Drive","Smart Max","Waste","Not Ready","20%","01/01/2022 07:40","-"
"1526476","91 Bay State Rd","Smart Max","Waste","Not Ready","0%","01/02/2022 06:28","-"
"1526394","140  Bay State Rd","Smart Max","Waste","Not Ready","20%","01/02/2022 06:30","-"
"1526478","595 Comm Ave @ Silber Way","Smart Max","Waste","Not Ready","0%","01/02/2022 06:38","-"
"1526463","718 Comm Ave","Smart Max","Waste","Not Ready","20%","01/02/2022 07:04","-"
"1526505","Agganis Arena Garage Entrance - 925 Comm Ave (Outside)","Smart Max","Waste","Not Ready","40%","01/02/2022 07:29","-"
"1526470","35 Pilgrim Rd","Smart Max","Waste","Not Ready","20%","01/02/2022 07:32","-"
"1526455","925 Comm Ave Aggnis Arena","Smart Max","Waste","Fullness","60%","01/02/2022 07:35","-"
"1526486","925 Comm Ave - Aggnis Arena Left Entrance @ Harry aggnis Way","Smart Max","Waste","Not Ready","0%","01/02/2022 07:40","-"
"1526483","34 Buswell St","Smart","Single Stream","Not Ready","40%","01/02/2022 10:43","-"
"1526396","Alcorn Street @ 161 Ashford St - New Balance Field Vehicle Garage Entrance","Smart Max","Waste","Fullness","60%","01/03/2022 07:38","-"
"1526398","East Concord St & Boston Medical Center Pl - On Pathway","Smart Max","Waste","Not Ready","0%","01/03/2022 07:40","-"
"1526399","Boston Medical Center Campus Park - Behind 715 Albany St @ E Concord St","Smart Max","Waste","Not Ready","0%","01/03/2022 08:02","-"
"1526464","509 Park Dr @ Buswell","Smart Max","Waste","Not Ready","20%","01/03/2022 09:37","-"
"1526390","72 E Concord St Rear Entrance in Courtyard","Smart Max","Waste","Not Ready","20%","01/03/2022 09:59","-"
"1526390","72 E Concord St Rear Entrance in Courtyard","Smart","Single Stream","Not Ready","20%","01/03/2022 09:59","-"
"1526483","34 Buswell St","Smart","Single Stream","Fullness","80%","01/03/2022 10:12","-"
"1526483","34 Buswell St","Smart","Single Stream","Fullness","80%","01/03/2022 10:52","-"
"1526378","700 Albany St City Convenience","Smart","Single Stream","Not Ready","40%","01/03/2022 10:55","-"
